Observer,Primary Folder,SubFolder,Start Image #,End Image #,Image Subject(s),Notes
CM,EFK_06232017_07072017,100EK113,6230002,6230002,human,
,,,6230017,6230044,cattle,
,,,6230090,6230099,cattle,
,,,6230111,6230114,cattle,
,,,6240566,6240566,human,
,,,6240838,6240841,human,
,,,6240861,6240864,human,
,,,6240892,6240892,unknown,
,,101EK113,6250732,6250772,cattle,
,,,6250790,6250844,cattle,
,,,6250867,6250872,cattle,
,,,6260961,6260999,cattle,
,,102EK113,6260001,6260323,cattle + dog,
,,,6260326,6260414,cattle,
,,,6260452,6260458,cattle,
,,,6260602,6260604,cattle,
,,,6260695,6260698,cattle,
,,,6270801,6270803,elk,
,,,6270814,6270820,elk,
,,,6270874,6270893,elk,
,,,6270934,6270939,unidentified canine,
,,103EK113,6270248,6270265,cattle,
,,,6270376,6270401,cattle,
,,,6270460,6270477,cattle,
,,,6270497,6270501,unidentified mammal,coyote?
,,,6280926,6280926,horseback rider ,
,,,6280974,6280974,horseback rider ,
CM,,104EK113,6280374,6280422,cattle,
,,,6280516,6280516,elk,
,,,6280550,6280550,elk? deer?,
,,,6290567,6290572,elk,
,,,6290595,6290614,elk,
,,,6290631,6290644,cattle,
,,,6290734,6290742,cattle,
,,,6290759,6290764,cattle,
,,,6290780,6280782,cattle,
,,,6290795,6290796,cattle,
,,,6290837,6290837,humans,
,,,6290866,6290878,humans,
,,105EK113,6300503,6300518,cattle,
,,,6300529,6300565,cattle,
,,,6300574,6300579,cattle,
,,,6300729,6300729,horseback rider ,
,,,6300777,6300789,unidentified mammal,coyote?
,,,6300813,6300814,horseback rider ,
,,,6300904,6300908,unidentified mammal,coyote?
,,,6300955,6300955,unidentified bird,
,,106EK113,6300244,6300303,cattle,
,,,7010372,7010382,elk,
,,,7010481,7010513,cattle,
,,,7010518,7010520,cattle,
,,,7010809,7010809,car,
,,107EK113,7010080,7010114,cattle,
,,,7010131,7010136,cattle,
,,,7010205,7010205,vehicle,
,,,7010218,7010218,vehicle,
,,,7020377,7020539,cattle,
,,108EK113,7030612,7030174,cattle,
,,,7030514,7030536,cattle,
,,,7030804,7030804,vehicle,
,,,7030903,7030942,cattle,
AS,,109EK113,7040060,7040081,deer,
,,,7040123,7040124,unknown,
,,,7040127,7040142,cattle,
,,,7040194,7040200,cattle,
,,,7040221,7040223,deer,
,,,7040229,7040230,unknown,
,,,7040753,7040757,vehicle,
,,,7040778,7040778,vehicle,
,,,7050983,7050999,cattle,
,,110EK113,7050001,7050394,cattle,
,,,7050561,7050652,cattle,
,,,7050655,7050659,unknown,
,,,7050664,7050667,unknown,
,,,7050669,7050670,unknown,
,,,7060799,7060815,deer,
,,,7060867,7060928,cattle,
,,,7060940,7060962,cattle,
,,111EK113,7060058,7060063,humans,
,,,7060101,7060103,humans,
,,,7060209,7060210,horseback rider ,
,,,7060639,7060668,cattle,
,,112EK113,N/A,N/A,N/A,
AS,EFK_07032017_07142017,100EK113,7030001,7030010,setting up camera,
,,,7070014,7070014,human,
,,,7070099,7070105,cattle,
,,,7070107,7070109,cattle,
,,,7070382,7070411,cattle,
,,,7070421,7070421,cattle,
,,,7070506,7070507,cattle,
,,,7080601,7080759,cattle,
,,,7080803,7080815,cattle,
,,,7080986,7080999,cattle,
,,101EK113,7080001,7080024,cattle,
,,,7090476,7090793,cattle,
,,,7090802,7090803,horseback rider,
,,,7090813,7090999,cattle,
,,102EK113,7090001,7090267,cattle,
,,,7090276,7090278,cattle,
,,,7090285,7090287,cattle,
,,,7090293,7090302,cattle,
,,,7100370,7100384,cattle,
,,,7100418,7100476,cattle,
,,,7100696,7100705,cattle,
,,,7100519,7100519,coyote,
,,103EK113,7110273,7110347,cattle,
,,,7110412,7110418,unidentified canine,
,,,7110445,7110458,cattle,
,,,7110580,7110580,unidentified bird,
,,,7110596,7110668,cattle,
,,,7110758,7110758,unidentified bird,
,,,7110768,7110919,unidentified bird feeding in creek & unidentified bird(7110864),
,,104EK113,7120165,7120214,cattle,
,,,7120393,7120430,cattle,
,,,7120538,7120573,cattle,
,,,7120721,7120775,cattle,
,,,7120796,7120796,unidentified bird,
,,,7120845,7120845,unidentified bird,
,,,7120892,7120925,cattle,
,,105EK113,7130060,7130123,cattle,
,,,7130158,7130169,cattle,
,,,7130171,7130171,unidenified bird,
,,106EK113,7140009,7140033,cattle,
CM,EFK_07142017_07222017,100EK113,7140003,7140013,cattle,
,,,7140296,7140314,unidentified mammal,coyote?
,,101EK113,7150404,7150545,cattle,
,,,7160662,7160677,cattle,
,,,7160695,7160848,cattle,
,,102EK113,7160042,7160051,cattle,
,,,7160059,7160062,cattle,
,,,7160208,7160220,cattle,
,,,7160275,7160410,cattle,
,,,7170544,7170555,cattle,
,,,7170568,7170726,cattle,
,,,7170917,7170920,horseback riders,
,,103EK113,7170025,7170059,cattle,
,,,7180646,7180653,human,
,,,7180691,7180697,cattle + rancher,
,,,7180702,7180710,human,
,,,7180727,7180730,vehicle,
,,104EK113,7180115,7180117,vehicle,
,,,7180121,7180121,vehicle,
,,,7190424,7190447,dogs?,
,,,7190580,7190582,horseback riders,
,,,7190787,7190787,unidentified bird,hawk?
,,106EK113,7210039,7210069,antelope? deer?,
,,,7210508,7210512,humans,
,,,7210537,7210541,humans,
,,,7210685,7210689,vehicle,
,,107EK113,7220280,7220280,human,
,EFK_07222017_08032017,100EK113,7220001,7220005,human,
,,101EK113,7230149,7230149,human,
AS,,102EK113,7250709,7250716,humans,
,,103EK113,7260394,7260394,coyote,
,,,7260760,7260766,elk,
,,,7260774,7260776,elk,
,,,7260777,7260805,elk,
,,,7260951,7260997,elk,
,,104EK113,7260016,7260038,elk,
,,,7260050,7260052,elk,
,,,7260072,7260076,elk,
,,,7270742,7270742,coyote,
,,105EK113,7280387,7280387,vehicles,
,,,7280464,7280467,vehicles,
,,106EK113,7290387,7290406,possible elk herd,
,,,7290560,7290561,vehicle,
CM,,107EK113,7300095,7300095,vehicle,
,,,7300455,7300565,elk?,
,,,7310660,7310674,elk??? hard to tell bc background blurry,
,,,7310736,7310740,coyote?,
,,,7310993,7310999,elk,
,,108EK113,7310167,7310518,elk,
,,,8010915,8010916,horseback rider,
,,109EK113,8010348,8010360,elk? very blurry,
,,,8020618,8020618,hawk?,
,,110EK113,N/A,N/A,N/A,
,,111EK113,N/A,N/A,N/A,
