Observer,Primary Folder,SubFolder,Start Image #,End Image #,Image Subject(s)
bkm,RPU_03262019_05092019,100EK113,2019-03-26-11-23-46,2019-03-26-11-32-02,starter
,,,2019-03-27-08-35-00,2019-03-27-08-35-00,e
,,101EK113,2019-03-31-00-29-58,2019-03-31-00-59-58,e
,,,2019-03-31-01-44-58,2019-03-31-01-59-58,e
,,,2019-03-31-03-14-58,2019-03-31-03-44-58,e
,,,2019-03-31-04-34-58,2019-03-31-04-39-58,e
,,,2019-03-31-05-04-58,2019-03-31-05-14-58,e
,,,2019-03-31-05-44-58,2019-03-31-05-44-58,e
,,,2019-03-31-19-30-58,2019-03-31-19-40-58,e
,,,2019-03-31-21-00-58,2019-03-31-21-50-58,e
,,,2019-04-02-06-14-56,2019-04-02-07-29-56,e
,,102EK113,2019-04-02-19-30-56,2019-04-02-19-50-56,e
,,,2019-04-03-06-49-56,2019-04-03-07-29-56,t
,,,2019-04-03-19-40-54,2019-04-03-19-45-54,e
,,,2019-04-04-18-20-54,2019-04-04-18-40-54,t
,,,2019-04-05-06-09-54,2019-04-05-06-34-52,e
,,103EK113,2019-04-06-07-09-52,2019-04-06-07-39-00,e
,,,2019-04-07-00-59-50,2019-04-07-00-59-50,coyote
,,,2019-04-07-06-24-50,2019-04-07-06-40-06,e
,,,2019-04-07-08-19-50,2019-04-07-08-19-50,t
,,,2019-04-07-19-45-50,2019-04-07-19-45-50,e
,,,2019-04-07-20-20-50,2019-04-07-20-45-50,e
,,,2019-04-08-02-24-50,2019-04-08-02-44-50,e
,,,2019-04-08-02-59-50,2019-04-08-02-59-50,e
,,,2019-04-08-11-39-48,2019-04-08-12-05-48,coyote
,,,2019-04-08-16-30-48,2019-04-08-16-45-48,coyote
,,,2019-04-08-20-00-48,2019-04-08-20-15-48,e
,,,2019-04-09-00-24-48,2019-04-09-00-34-48,e
,,,2019-04-09-03-04-48,2019-04-09-03-24-48,e
,,104EK113,2019-04-09-06-04-48,2019-04-09-06-19-48,e
,,,2019-04-09-07-00-48,2019-04-09-07-00-48,e
,,,2019-04-10-19-50-46,2019-04-10-19-55-46,e
,,,2019-04-11-06-39-46,2019-04-11-07-05-06,e
,,,2019-04-11-17-30-46,2019-04-11-17-30-46,t
,,,2019-04-12-08-27-22,2019-04-12-08-27-22,hunter
,,105EK113,2019-04-12-21-15-44,2019-04-12-21-20-44,e
,,,2019-04-12-23-40-44,2019-04-12-23-40-44,e
,,,2019-04-12-23-50-44,2019-04-12-23-50-44,e
,,,2019-04-13-00-14-44,2019-04-13-00-14-44,e
,,,2019-04-13-00-34-44,2019-04-13-00-34-44,e
,,,2019-04-14-06-19-42,2019-04-14-06-19-42,humans
,,,2019-04-15-06-49-42,2019-04-15-06-49-42,c
,,106EK113,2019-04-15-20-40-40,2019-04-15-20-55-40,e
,,,2019-04-15-22-50-40,2019-04-15-23-35-40,e
,,,2019-04-16-21-30-40,2019-04-16-21-55-40,e
,,,2019-04-17-01-52-42,2019-04-17-01-52-42,u
,,,2019-04-17-02-09-40,2019-04-17-02-59-40,e
,,107EK113,2019-04-20-00-24-38,2019-04-20-06-09-38,e
,,,2019-04-20-12-10-38,2019-04-20-12-10-38,h
,,,2019-04-21-20-05-36,2019-04-21-20-10-36,e
,,,2019-04-22-05-49-36,2019-04-22-06-24-40,e
,,,2019-04-22-11-09-36,2019-04-22-11-09-36,human
,,108EK113,,,
,,,,,
,,,,,
,,,,,
,,109EK113,2019-04-26-05-49-32,2019-04-26-05-54-32,u
,,,2019-04-26-20-00-32,2019-04-26-20-05-32,u
,,,2019-04-27-06-19-32,2019-04-27-07-09-32,c
,,,2019-04-27-07-39-32,2019-04-27-08-14-32,c
,,,2019-04-28-05-59-30,2019-04-28-06-19-30,e
,,,2019-04-28-20-25-30,2019-04-28-21-20-30,e
,,,2019-04-29-05-39-30,2019-04-29-06-49-30,e/c
